,housing_units,latt,long,median_house_value,population
36310,4140.0,31.6,-85.2,84800.0,6783.0
36311,1275.0,31.6,-85.7,93400.0,2770.0
36312,2863.0,31.2,-85.2,94100.0,6187.0
36313,145.0,31.176,-85.796,71400.0,285.0
36314,291.0,31.02,-85.76,93600.0,595.0
36316,829.0,31.18,-85.88,113600.0,1722.0
36317,270.0,31.6,-85.4,31900.0,590.0
36318,648.0,31.17,-85.96,66100.0,1296.0
36319,1154.0,31.3,-85.2,88900.0,2276.0
36320,1793.0,31.1,-85.3,74900.0,3837.0
36321,694.0,31.21,-85.3,87000.0,1632.0
36322,4475.0,31.3,-85.7,96300.0,9072.0
36323,3849.0,31.4,-86.1,85500.0,8255.0
36330,15484.0,31.3,-85.9,160100.0,35530.0
36340,2583.0,31.07,-85.92,80700.0,5490.0
36343,840.0,31.1,-85.2,59900.0,1579.0
36344,2697.0,31.1,-85.7,79800.0,5732.0
36345,3400.0,31.4,-85.3,129200.0,7822.0
36346,656.0,31.55,-85.94,81000.0,1456.0
36350,2846.0,31.4,-85.5,110700.0,6540.0
36351,1462.0,31.4,-85.9,84400.0,3146.0
36352,2134.0,31.3,-85.6,120900.0,4885.0
36353,936.0,31.5,-85.3,75200.0,1968.0
36360,9358.0,31.5,-85.6,100500.0,20157.0
36362,1456.0,31.4,-85.71,,4637.0
36370,433.0,31.12,-85.15,80400.0,972.0
36371,332.0,31.4,-85.5,105800.0,720.0
36373,312.0,31.5,-85.1,85000.0,581.0
36374,484.0,31.58,-85.49,77100.0,970.0
36375,3378.0,31.1,-85.5,80100.0,7390.0
36376,1071.0,31.25,-85.26,76000.0,2445.0
36401,4404.0,31.5,-86.9,69300.0,8314.0
36420,5208.0,31.2,-86.6,85300.0,10673.0
36421,4708.0,31.4,-86.5,112200.0,9241.0
36425,600.0,31.7,-87.2,58600.0,1008.0
36426,7662.0,31.1,-87.1,84800.0,16202.0
36432,1255.0,31.4,-87.0,66900.0,2420.0
36435,324.0,31.9,-87.4,31800.0,579.0
36436,257.0,31.7,-87.6,126400.0,531.0
36439,229.0,31.5,-87.3,102700.0,583.0
36441,1678.0,31.0,-87.2,75300.0,3576.0
36442,1947.0,31.1,-86.4,75700.0,3555.0
36444,535.0,31.7,-87.4,53000.0,702.0
36445,2352.0,31.4,-87.4,66500.0,5050.0
36446,231.0,31.78,-87.73,48600.0,490.0
36451,2379.0,31.7,-87.8,106700.0,4977.0
36453,1051.0,31.2,-86.1,71400.0,2198.0
36454,30.0,31.32,-87.21,,51.0
36455,222.0,31.1,-86.4,61800.0,465.0
36456,921.0,31.6,-86.8,56400.0,1820.0
36460,4946.0,31.5,-87.3,90200.0,10738.0
36467,4778.0,31.3,-86.3,80300.0,10058.0
36470,77.0,31.4,-87.5,,98.0
36471,689.0,31.6,-87.2,50400.0,1257.0
36473,55.0,31.25,-87.38,49800.0,106.0
36474,1500.0,31.4,-86.6,84200.0,2926.0
36475,1110.0,31.4,-87.2,67900.0,2208.0
36476,23.0,31.2,-86.6,42500.0,51.0
36477,2434.0,31.1,-86.1,73700.0,4946.0
36480,1004.0,31.4,-87.6,80800.0,1773.0
36481,309.0,31.78,-87.36,41300.0,593.0
36482,586.0,31.6,-87.6,45900.0,1090.0
36483,321.0,31.0,-86.7,68700.0,536.0
36502,7006.0,31.2,-87.5,86100.0,18355.0
36505,618.0,30.96,-88.02,116300.0,1481.0
36507,7889.0,30.9,-87.7,108700.0,19090.0
36509,770.0,30.4,-88.26,103400.0,1983.0
36511,359.0,30.31,-87.75,88500.0,764.0
36512,39.0,31.1,-88.0,,46.0
36513,252.0,31.2,-88.1,75000.0,555.0
36518,1257.0,31.5,-88.3,78700.0,2842.0
